respondent_id,option
49,Clareza e transparência das informações no rótulo
49,Preço
50,"Qualidade sensorial (sabor, aroma, equilíbrio)"
50,Origem das uvas (região/procedência)
50,Clareza e transparência das informações no rótulo
51,"Qualidade sensorial (sabor, aroma, equilíbrio)"
51,Sustentabilidade ambiental (menor impacto no cultivo)
51,Clareza e transparência das informações no rótulo
51,Presença de certificações ou selos ambientais
52,"Qualidade sensorial (sabor, aroma, equilíbrio)"
52,Sustentabilidade ambiental (menor impacto no cultivo)
52,Clareza e transparência das informações no rótulo
52,Preço
52,Grau de inovação do produto
53,"Qualidade sensorial (sabor, aroma, equilíbrio)"
54,"Qualidade sensorial (sabor, aroma, equilíbrio)"
54,Clareza e transparência das informações no rótulo
54,Presença de certificações ou selos ambientais
54,Preço
55,"Qualidade sensorial (sabor, aroma, equilíbrio)"
55,Presença de certificações ou selos ambientais
55,Preço
56,"Qualidade sensorial (sabor, aroma, equilíbrio)"
56,Sustentabilidade ambiental (menor impacto no cultivo)
57,"Qualidade sensorial (sabor, aroma, equilíbrio)"
57,Sustentabilidade ambiental (menor impacto no cultivo)
58,"Qualidade sensorial (sabor, aroma, equilíbrio)"
58,Sustentabilidade ambiental (menor impacto no cultivo)
58,Clareza e transparência das informações no rótulo
58,Preço
59,"Qualidade sensorial (sabor, aroma, equilíbrio)"
59,Preço
59,Grau de inovação do produto
60,"Qualidade sensorial (sabor, aroma, equilíbrio)"
60,Sustentabilidade ambiental (menor impacto no cultivo)
60,Origem das uvas (região/procedência)
60,Clareza e transparência das informações no rótulo
60,Presença de certificações ou selos ambientais
61,"Qualidade sensorial (sabor, aroma, equilíbrio)"
61,Preço
62,"Qualidade sensorial (sabor, aroma, equilíbrio)"
62,Sustentabilidade ambiental (menor impacto no cultivo)
62,Clareza e transparência das informações no rótulo
62,Presença de certificações ou selos ambientais
63,"Qualidade sensorial (sabor, aroma, equilíbrio)"
63,Sustentabilidade ambiental (menor impacto no cultivo)
63,Origem das uvas (região/procedência)
63,Clareza e transparência das informações no rótulo
63,Presença de certificações ou selos ambientais
63,Grau de inovação do produto
64,"Qualidade sensorial (sabor, aroma, equilíbrio)"
64,Sustentabilidade ambiental (menor impacto no cultivo)
64,Clareza e transparência das informações no rótulo
65,"Qualidade sensorial (sabor, aroma, equilíbrio)"
65,Preço
66,"Qualidade sensorial (sabor, aroma, equilíbrio)"
66,Origem das uvas (região/procedência)
66,Grau de inovação do produto
67,"Qualidade sensorial (sabor, aroma, equilíbrio)"
67,Sustentabilidade ambiental (menor impacto no cultivo)
67,Presença de certificações ou selos ambientais
67,Preço
67,Grau de inovação do produto
68,"Qualidade sensorial (sabor, aroma, equilíbrio)"
68,Clareza e transparência das informações no rótulo
68,Presença de certificações ou selos ambientais
68,Preço
69,"Qualidade sensorial (sabor, aroma, equilíbrio)"
69,Clareza e transparência das informações no rótulo
69,Preço
70,"Qualidade sensorial (sabor, aroma, equilíbrio)"
70,Clareza e transparência das informações no rótulo
70,Preço
71,"Qualidade sensorial (sabor, aroma, equilíbrio)"
71,Clareza e transparência das informações no rótulo
71,Presença de certificações ou selos ambientais
71,Preço
72,Sustentabilidade ambiental (menor impacto no cultivo)
72,Clareza e transparência das informações no rótulo
72,Presença de certificações ou selos ambientais
73,"Qualidade sensorial (sabor, aroma, equilíbrio)"
73,Sustentabilidade ambiental (menor impacto no cultivo)
73,Clareza e transparência das informações no rótulo
73,Presença de certificações ou selos ambientais
73,Preço
74,"Qualidade sensorial (sabor, aroma, equilíbrio)"
74,Sustentabilidade ambiental (menor impacto no cultivo)
74,Origem das uvas (região/procedência)
74,Presença de certificações ou selos ambientais
75,"Qualidade sensorial (sabor, aroma, equilíbrio)"
75,Origem das uvas (região/procedência)
75,Clareza e transparência das informações no rótulo
75,Preço
76,"Qualidade sensorial (sabor, aroma, equilíbrio)"
76,Sustentabilidade ambiental (menor impacto no cultivo)
76,Origem das uvas (região/procedência)
77,"Qualidade sensorial (sabor, aroma, equilíbrio)"
77,Origem das uvas (região/procedência)
77,Clareza e transparência das informações no rótulo
77,Preço
78,Clareza e transparência das informações no rótulo
78,Presença de certificações ou selos ambientais
78,Preço
79,"Qualidade sensorial (sabor, aroma, equilíbrio)"
79,Sustentabilidade ambiental (menor impacto no cultivo)
79,Origem das uvas (região/procedência)
79,Clareza e transparência das informações no rótulo
79,Preço
80,"Qualidade sensorial (sabor, aroma, equilíbrio)"
81,"Qualidade sensorial (sabor, aroma, equilíbrio)"
81,Sustentabilidade ambiental (menor impacto no cultivo)
81,Clareza e transparência das informações no rótulo
81,Presença de certificações ou selos ambientais
81,Preço
82,"Qualidade sensorial (sabor, aroma, equilíbrio)"
82,Sustentabilidade ambiental (menor impacto no cultivo)
82,Presença de certificações ou selos ambientais
82,Grau de inovação do produto
83,"Qualidade sensorial (sabor, aroma, equilíbrio)"
83,Sustentabilidade ambiental (menor impacto no cultivo)
83,Origem das uvas (região/procedência)
83,Clareza e transparência das informações no rótulo
83,Presença de certificações ou selos ambientais
83,Preço
84,"Qualidade sensorial (sabor, aroma, equilíbrio)"
85,"Qualidade sensorial (sabor, aroma, equilíbrio)"
85,Preço
86,"Qualidade sensorial (sabor, aroma, equilíbrio)"
86,Sustentabilidade ambiental (menor impacto no cultivo)
86,Origem das uvas (região/procedência)
86,Clareza e transparência das informações no rótulo
86,Presença de certificações ou selos ambientais
86,Preço
86,Grau de inovação do produto
87,"Qualidade sensorial (sabor, aroma, equilíbrio)"
87,Clareza e transparência das informações no rótulo
87,Preço
88,"Qualidade sensorial (sabor, aroma, equilíbrio)"
88,Sustentabilidade ambiental (menor impacto no cultivo)
89,"Qualidade sensorial (sabor, aroma, equilíbrio)"
89,Sustentabilidade ambiental (menor impacto no cultivo)
89,Clareza e transparência das informações no rótulo
89,Presença de certificações ou selos ambientais
89,Preço
90,"Qualidade sensorial (sabor, aroma, equilíbrio)"
90,Preço
91,"Qualidade sensorial (sabor, aroma, equilíbrio)"
91,Sustentabilidade ambiental (menor impacto no cultivo)
91,Origem das uvas (região/procedência)
91,Clareza e transparência das informações no rótulo
91,Presença de certificações ou selos ambientais
92,"Qualidade sensorial (sabor, aroma, equilíbrio)"
92,Sustentabilidade ambiental (menor impacto no cultivo)
92,Preço
92,Grau de inovação do produto
93,"Qualidade sensorial (sabor, aroma, equilíbrio)"
93,Clareza e transparência das informações no rótulo
94,"Qualidade sensorial (sabor, aroma, equilíbrio)"
94,Sustentabilidade ambiental (menor impacto no cultivo)
95,Clareza e transparência das informações no rótulo
95,Presença de certificações ou selos ambientais
95,Preço
96,"Qualidade sensorial (sabor, aroma, equilíbrio)"
96,Sustentabilidade ambiental (menor impacto no cultivo)
96,Origem das uvas (região/procedência)
96,Clareza e transparência das informações no rótulo
96,Presença de certificações ou selos ambientais
96,Preço
96,Grau de inovação do produto
97,Preço
98,"Qualidade sensorial (sabor, aroma, equilíbrio)"
98,Sustentabilidade ambiental (menor impacto no cultivo)
98,Origem das uvas (região/procedência)
98,Clareza e transparência das informações no rótulo
98,Presença de certificações ou selos ambientais
98,Grau de inovação do produto
99,"Qualidade sensorial (sabor, aroma, equilíbrio)"
99,Clareza e transparência das informações no rótulo
99,Presença de certificações ou selos ambientais
100,"Qualidade sensorial (sabor, aroma, equilíbrio)"
100,Preço
101,Sustentabilidade ambiental (menor impacto no cultivo)
101,Origem das uvas (região/procedência)
101,Preço
102,"Qualidade sensorial (sabor, aroma, equilíbrio)"
102,Preço
103,"Qualidade sensorial (sabor, aroma, equilíbrio)"
104,"Qualidade sensorial (sabor, aroma, equilíbrio)"
104,Sustentabilidade ambiental (menor impacto no cultivo)
104,Presença de certificações ou selos ambientais
105,"Qualidade sensorial (sabor, aroma, equilíbrio)"
106,"Qualidade sensorial (sabor, aroma, equilíbrio)"
106,Preço
107,Sustentabilidade ambiental (menor impacto no cultivo)
107,Origem das uvas (região/procedência)
107,Presença de certificações ou selos ambientais
108,"Qualidade sensorial (sabor, aroma, equilíbrio)"
108,Preço
109,"Qualidade sensorial (sabor, aroma, equilíbrio)"
109,Sustentabilidade ambiental (menor impacto no cultivo)
109,Clareza e transparência das informações no rótulo
109,Presença de certificações ou selos ambientais
109,Preço
110,"Qualidade sensorial (sabor, aroma, equilíbrio)"
110,Sustentabilidade ambiental (menor impacto no cultivo)
110,Clareza e transparência das informações no rótulo
110,Preço
111,"Qualidade sensorial (sabor, aroma, equilíbrio)"
111,Clareza e transparência das informações no rótulo
111,Preço
112,"Qualidade sensorial (sabor, aroma, equilíbrio)"
112,Sustentabilidade ambiental (menor impacto no cultivo)
112,Origem das uvas (região/procedência)
112,Clareza e transparência das informações no rótulo
112,Presença de certificações ou selos ambientais
112,Preço
112,Grau de inovação do produto
113,"Qualidade sensorial (sabor, aroma, equilíbrio)"
113,Origem das uvas (região/procedência)
113,Clareza e transparência das informações no rótulo
113,Presença de certificações ou selos ambientais
114,"Qualidade sensorial (sabor, aroma, equilíbrio)"
114,Sustentabilidade ambiental (menor impacto no cultivo)
114,Preço
115,"Qualidade sensorial (sabor, aroma, equilíbrio)"
115,Origem das uvas (região/procedência)
116,"Qualidade sensorial (sabor, aroma, equilíbrio)"
116,Clareza e transparência das informações no rótulo
116,Preço
117,"Qualidade sensorial (sabor, aroma, equilíbrio)"
117,Sustentabilidade ambiental (menor impacto no cultivo)
117,Origem das uvas (região/procedência)
117,Grau de inovação do produto
118,"Qualidade sensorial (sabor, aroma, equilíbrio)"
118,Sustentabilidade ambiental (menor impacto no cultivo)
118,Origem das uvas (região/procedência)
118,Clareza e transparência das informações no rótulo
118,Preço
119,"Qualidade sensorial (sabor, aroma, equilíbrio)"
119,Clareza e transparência das informações no rótulo
120,"Qualidade sensorial (sabor, aroma, equilíbrio)"
120,Sustentabilidade ambiental (menor impacto no cultivo)
120,Clareza e transparência das informações no rótulo
120,Presença de certificações ou selos ambientais
120,Preço
121,"Qualidade sensorial (sabor, aroma, equilíbrio)"
121,Clareza e transparência das informações no rótulo
121,Grau de inovação do produto
122,"Qualidade sensorial (sabor, aroma, equilíbrio)"
122,Sustentabilidade ambiental (menor impacto no cultivo)
122,Clareza e transparência das informações no rótulo
122,Presença de certificações ou selos ambientais
122,Preço
123,"Qualidade sensorial (sabor, aroma, equilíbrio)"
123,Origem das uvas (região/procedência)
123,Clareza e transparência das informações no rótulo
123,Presença de certificações ou selos ambientais
123,Preço
124,"Qualidade sensorial (sabor, aroma, equilíbrio)"
124,Origem das uvas (região/procedência)
124,Presença de certificações ou selos ambientais
124,Preço
125,"Qualidade sensorial (sabor, aroma, equilíbrio)"
125,Clareza e transparência das informações no rótulo
125,Preço
126,"Qualidade sensorial (sabor, aroma, equilíbrio)"
126,Sustentabilidade ambiental (menor impacto no cultivo)
126,Presença de certificações ou selos ambientais
127,"Qualidade sensorial (sabor, aroma, equilíbrio)"
127,Sustentabilidade ambiental (menor impacto no cultivo)
127,Origem das uvas (região/procedência)
127,Clareza e transparência das informações no rótulo
127,Presença de certificações ou selos ambientais
127,Grau de inovação do produto
128,"Qualidade sensorial (sabor, aroma, equilíbrio)"
128,Clareza e transparência das informações no rótulo
128,Presença de certificações ou selos ambientais
128,Preço
129,"Qualidade sensorial (sabor, aroma, equilíbrio)"
129,Origem das uvas (região/procedência)
129,Preço
130,Origem das uvas (região/procedência)
130,Preço
131,"Qualidade sensorial (sabor, aroma, equilíbrio)"
131,Sustentabilidade ambiental (menor impacto no cultivo)
131,Origem das uvas (região/procedência)
131,Clareza e transparência das informações no rótulo
131,Preço
132,"Qualidade sensorial (sabor, aroma, equilíbrio)"
132,Sustentabilidade ambiental (menor impacto no cultivo)
133,"Qualidade sensorial (sabor, aroma, equilíbrio)"
133,Origem das uvas (região/procedência)
134,"Qualidade sensorial (sabor, aroma, equilíbrio)"
134,Presença de certificações ou selos ambientais
134,Preço
135,"Qualidade sensorial (sabor, aroma, equilíbrio)"
135,Preço
136,"Qualidade sensorial (sabor, aroma, equilíbrio)"
136,Sustentabilidade ambiental (menor impacto no cultivo)
136,Preço
137,"Qualidade sensorial (sabor, aroma, equilíbrio)"
137,Sustentabilidade ambiental (menor impacto no cultivo)
137,Origem das uvas (região/procedência)
137,Clareza e transparência das informações no rótulo
137,Presença de certificações ou selos ambientais
137,Preço
138,Sustentabilidade ambiental (menor impacto no cultivo)
138,Clareza e transparência das informações no rótulo
139,"Qualidade sensorial (sabor, aroma, equilíbrio)"
139,Sustentabilidade ambiental (menor impacto no cultivo)
139,Clareza e transparência das informações no rótulo
139,Presença de certificações ou selos ambientais
139,Grau de inovação do produto
140,"Qualidade sensorial (sabor, aroma, equilíbrio)"
140,Sustentabilidade ambiental (menor impacto no cultivo)
140,Clareza e transparência das informações no rótulo
140,Presença de certificações ou selos ambientais
140,Preço
141,Sustentabilidade ambiental (menor impacto no cultivo)
141,Clareza e transparência das informações no rótulo
141,Presença de certificações ou selos ambientais
142,"Qualidade sensorial (sabor, aroma, equilíbrio)"
142,Presença de certificações ou selos ambientais
143,"Qualidade sensorial (sabor, aroma, equilíbrio)"
143,Sustentabilidade ambiental (menor impacto no cultivo)
143,Origem das uvas (região/procedência)
143,Clareza e transparência das informações no rótulo
143,Grau de inovação do produto
144,"Qualidade sensorial (sabor, aroma, equilíbrio)"
144,Sustentabilidade ambiental (menor impacto no cultivo)
144,Preço
145,"Qualidade sensorial (sabor, aroma, equilíbrio)"
145,Origem das uvas (região/procedência)
145,Clareza e transparência das informações no rótulo
145,Preço
146,"Qualidade sensorial (sabor, aroma, equilíbrio)"
146,Sustentabilidade ambiental (menor impacto no cultivo)
146,Clareza e transparência das informações no rótulo
146,Presença de certificações ou selos ambientais
147,"Qualidade sensorial (sabor, aroma, equilíbrio)"
147,Sustentabilidade ambiental (menor impacto no cultivo)
147,Clareza e transparência das informações no rótulo
147,Presença de certificações ou selos ambientais
147,Preço
148,"Qualidade sensorial (sabor, aroma, equilíbrio)"
148,Sustentabilidade ambiental (menor impacto no cultivo)
148,Preço
149,"Qualidade sensorial (sabor, aroma, equilíbrio)"
149,Origem das uvas (região/procedência)
149,Clareza e transparência das informações no rótulo
149,Presença de certificações ou selos ambientais
150,"Qualidade sensorial (sabor, aroma, equilíbrio)"
150,Sustentabilidade ambiental (menor impacto no cultivo)
150,Origem das uvas (região/procedência)
150,Presença de certificações ou selos ambientais
151,"Qualidade sensorial (sabor, aroma, equilíbrio)"
151,Presença de certificações ou selos ambientais
151,Preço
152,"Qualidade sensorial (sabor, aroma, equilíbrio)"
152,Sustentabilidade ambiental (menor impacto no cultivo)
152,Origem das uvas (região/procedência)
152,Clareza e transparência das informações no rótulo
152,Presença de certificações ou selos ambientais
152,Preço
153,"Qualidade sensorial (sabor, aroma, equilíbrio)"
153,Sustentabilidade ambiental (menor impacto no cultivo)
153,Origem das uvas (região/procedência)
153,Clareza e transparência das informações no rótulo
153,Presença de certificações ou selos ambientais
154,"Qualidade sensorial (sabor, aroma, equilíbrio)"
154,Origem das uvas (região/procedência)
154,Clareza e transparência das informações no rótulo
154,Presença de certificações ou selos ambientais
155,"Qualidade sensorial (sabor, aroma, equilíbrio)"
155,Origem das uvas (região/procedência)
155,Preço
156,"Qualidade sensorial (sabor, aroma, equilíbrio)"
156,Origem das uvas (região/procedência)
156,Preço
157,"Qualidade sensorial (sabor, aroma, equilíbrio)"
157,Sustentabilidade ambiental (menor impacto no cultivo)
157,Origem das uvas (região/procedência)
157,Presença de certificações ou selos ambientais
157,Preço
158,"Qualidade sensorial (sabor, aroma, equilíbrio)"
158,Origem das uvas (região/procedência)
159,"Qualidade sensorial (sabor, aroma, equilíbrio)"
159,Origem das uvas (região/procedência)
159,Clareza e transparência das informações no rótulo
160,Clareza e transparência das informações no rótulo
160,Presença de certificações ou selos ambientais
161,"Qualidade sensorial (sabor, aroma, equilíbrio)"
161,Clareza e transparência das informações no rótulo
162,"Qualidade sensorial (sabor, aroma, equilíbrio)"
162,Sustentabilidade ambiental (menor impacto no cultivo)
162,Clareza e transparência das informações no rótulo
162,Presença de certificações ou selos ambientais
163,"Qualidade sensorial (sabor, aroma, equilíbrio)"
163,Sustentabilidade ambiental (menor impacto no cultivo)
163,Clareza e transparência das informações no rótulo
163,Presença de certificações ou selos ambientais
163,Preço
164,"Qualidade sensorial (sabor, aroma, equilíbrio)"
164,Origem das uvas (região/procedência)
165,"Qualidade sensorial (sabor, aroma, equilíbrio)"
165,Preço
166,"Qualidade sensorial (sabor, aroma, equilíbrio)"
166,Sustentabilidade ambiental (menor impacto no cultivo)
166,Preço
167,"Qualidade sensorial (sabor, aroma, equilíbrio)"
167,Clareza e transparência das informações no rótulo
167,Preço
168,"Qualidade sensorial (sabor, aroma, equilíbrio)"
168,Origem das uvas (região/procedência)
168,Clareza e transparência das informações no rótulo
168,Preço
169,"Qualidade sensorial (sabor, aroma, equilíbrio)"
169,Clareza e transparência das informações no rótulo
169,Preço
170,Sustentabilidade ambiental (menor impacto no cultivo)
170,Presença de certificações ou selos ambientais
171,"Qualidade sensorial (sabor, aroma, equilíbrio)"
171,Sustentabilidade ambiental (menor impacto no cultivo)
171,Presença de certificações ou selos ambientais
171,Preço
171,Grau de inovação do produto
172,"Qualidade sensorial (sabor, aroma, equilíbrio)"
172,Preço
173,"Qualidade sensorial (sabor, aroma, equilíbrio)"
173,Sustentabilidade ambiental (menor impacto no cultivo)
173,Presença de certificações ou selos ambientais
173,Preço
174,"Qualidade sensorial (sabor, aroma, equilíbrio)"
174,Clareza e transparência das informações no rótulo
174,Preço
175,"Qualidade sensorial (sabor, aroma, equilíbrio)"
175,Origem das uvas (região/procedência)
175,Clareza e transparência das informações no rótulo
175,Preço
176,"Qualidade sensorial (sabor, aroma, equilíbrio)"
176,Clareza e transparência das informações no rótulo
176,Presença de certificações ou selos ambientais
176,Preço
177,"Qualidade sensorial (sabor, aroma, equilíbrio)"
177,Origem das uvas (região/procedência)
177,Clareza e transparência das informações no rótulo
177,Preço
178,"Qualidade sensorial (sabor, aroma, equilíbrio)"
178,Sustentabilidade ambiental (menor impacto no cultivo)
178,Origem das uvas (região/procedência)
178,Clareza e transparência das informações no rótulo
178,Presença de certificações ou selos ambientais
178,Preço
179,Origem das uvas (região/procedência)
179,Clareza e transparência das informações no rótulo
179,Preço
180,"Qualidade sensorial (sabor, aroma, equilíbrio)"
180,Sustentabilidade ambiental (menor impacto no cultivo)
180,Origem das uvas (região/procedência)
180,Preço
181,"Qualidade sensorial (sabor, aroma, equilíbrio)"
181,Origem das uvas (região/procedência)
182,"Qualidade sensorial (sabor, aroma, equilíbrio)"
182,Origem das uvas (região/procedência)
182,Clareza e transparência das informações no rótulo
182,Preço
182,Grau de inovação do produto
183,"Qualidade sensorial (sabor, aroma, equilíbrio)"
183,Origem das uvas (região/procedência)
183,Preço
184,Origem das uvas (região/procedência)
184,Preço
185,Sustentabilidade ambiental (menor impacto no cultivo)
185,Clareza e transparência das informações no rótulo
185,Presença de certificações ou selos ambientais
186,"Qualidade sensorial (sabor, aroma, equilíbrio)"
186,Sustentabilidade ambiental (menor impacto no cultivo)
186,Origem das uvas (região/procedência)
186,Clareza e transparência das informações no rótulo
186,Presença de certificações ou selos ambientais
186,Preço
186,Grau de inovação do produto
187,"Qualidade sensorial (sabor, aroma, equilíbrio)"
187,Sustentabilidade ambiental (menor impacto no cultivo)
187,Origem das uvas (região/procedência)
187,Clareza e transparência das informações no rótulo
187,Presença de certificações ou selos ambientais
188,"Qualidade sensorial (sabor, aroma, equilíbrio)"
188,Clareza e transparência das informações no rótulo
189,"Qualidade sensorial (sabor, aroma, equilíbrio)"
189,Sustentabilidade ambiental (menor impacto no cultivo)
189,Clareza e transparência das informações no rótulo
190,"Qualidade sensorial (sabor, aroma, equilíbrio)"
190,Sustentabilidade ambiental (menor impacto no cultivo)
190,Clareza e transparência das informações no rótulo
190,Presença de certificações ou selos ambientais
191,"Qualidade sensorial (sabor, aroma, equilíbrio)"
191,Sustentabilidade ambiental (menor impacto no cultivo)
191,Origem das uvas (região/procedência)
191,Grau de inovação do produto
192,Clareza e transparência das informações no rótulo
193,"Qualidade sensorial (sabor, aroma, equilíbrio)"
193,Clareza e transparência das informações no rótulo
193,Preço
194,"Qualidade sensorial (sabor, aroma, equilíbrio)"
194,Sustentabilidade ambiental (menor impacto no cultivo)
194,Origem das uvas (região/procedência)
194,Clareza e transparência das informações no rótulo
194,Presença de certificações ou selos ambientais
195,"Qualidade sensorial (sabor, aroma, equilíbrio)"
195,Sustentabilidade ambiental (menor impacto no cultivo)
195,Origem das uvas (região/procedência)
195,Clareza e transparência das informações no rótulo
195,Preço
196,Clareza e transparência das informações no rótulo
196,Preço
196,Grau de inovação do produto
197,"Qualidade sensorial (sabor, aroma, equilíbrio)"
197,Origem das uvas (região/procedência)
197,Clareza e transparência das informações no rótulo
197,Presença de certificações ou selos ambientais
198,"Qualidade sensorial (sabor, aroma, equilíbrio)"
198,Origem das uvas (região/procedência)
198,Presença de certificações ou selos ambientais
199,"Qualidade sensorial (sabor, aroma, equilíbrio)"
199,Sustentabilidade ambiental (menor impacto no cultivo)
200,"Qualidade sensorial (sabor, aroma, equilíbrio)"
200,Origem das uvas (região/procedência)
200,Clareza e transparência das informações no rótulo
200,Preço
200,Grau de inovação do produto
