respondent_id,option
58,Diretamente em vinícolas
59,Supermercados
60,Supermercados
60,Lojas físicas especializadas
60,Lojas online especializadas
60,Diretamente em vinícolas
61,Supermercados
61,Lojas físicas especializadas
62,Supermercados
62,Lojas físicas especializadas
62,Lojas online especializadas
62,Diretamente em vinícolas
63,Supermercados
63,Lojas físicas especializadas
63,Lojas online especializadas
64,Supermercados
64,Lojas físicas especializadas
64,Restaurantes e bares
65,Supermercados
65,Lojas físicas especializadas
65,Lojas online especializadas
66,Diretamente em vinícolas
67,Supermercados
68,Supermercados
69,Supermercados
70,Supermercados
70,Lojas online especializadas
71,Supermercados
72,Supermercados
72,Diretamente em vinícolas
72,Restaurantes e bares
73,Supermercados
73,Lojas físicas especializadas
73,Diretamente em vinícolas
73,Restaurantes e bares
74,Supermercados
74,Restaurantes e bares
75,Supermercados
75,Lojas físicas especializadas
76,Lojas físicas especializadas
77,Supermercados
77,Lojas físicas especializadas
77,Diretamente em vinícolas
77,Restaurantes e bares
78,Supermercados
79,Supermercados
80,Supermercados
80,Lojas físicas especializadas
81,Lojas online especializadas
81,Restaurantes e bares
82,Supermercados
82,Lojas físicas especializadas
83,Supermercados
83,Lojas físicas especializadas
84,Supermercados
84,Lojas físicas especializadas
84,Lojas online especializadas
84,Diretamente em vinícolas
84,Restaurantes e bares
85,Supermercados
85,Lojas físicas especializadas
85,Lojas online especializadas
85,Restaurantes e bares
86,Supermercados
86,Diretamente em vinícolas
87,Supermercados
87,Lojas físicas especializadas
87,Lojas online especializadas
87,Diretamente em vinícolas
87,Restaurantes e bares
88,Supermercados
89,Supermercados
90,Supermercados
91,Lojas físicas especializadas
91,Lojas online especializadas
91,Diretamente em vinícolas
92,Supermercados
93,Supermercados
93,Lojas online especializadas
93,Restaurantes e bares
94,Supermercados
94,Lojas online especializadas
95,Supermercados
96,Supermercados
97,Supermercados
98,Supermercados
98,Lojas físicas especializadas
98,Lojas online especializadas
98,Diretamente em vinícolas
98,Restaurantes e bares
99,Supermercados
99,Diretamente em vinícolas
100,Supermercados
100,Lojas físicas especializadas
101,Supermercados
101,Lojas físicas especializadas
102,Supermercados
103,Lojas online especializadas
104,Supermercados
104,Lojas online especializadas
106,Supermercados
106,Lojas físicas especializadas
106,Lojas online especializadas
106,Diretamente em vinícolas
106,Restaurantes e bares
107,Supermercados
108,Supermercados
108,Lojas online especializadas
109,Supermercados
109,Diretamente em vinícolas
110,Supermercados
110,Restaurantes e bares
111,Supermercados
112,Supermercados
113,Supermercados
113,Diretamente em vinícolas
113,Restaurantes e bares
114,Supermercados
114,Lojas online especializadas
114,Diretamente em vinícolas
115,Supermercados
116,Supermercados
116,Lojas físicas especializadas
116,Lojas online especializadas
117,Lojas online especializadas
117,Diretamente em vinícolas
118,Supermercados
118,Lojas físicas especializadas
119,Supermercados
119,Lojas físicas especializadas
120,Supermercados
120,Lojas online especializadas
121,Supermercados
121,Lojas online especializadas
121,Diretamente em vinícolas
122,Supermercados
122,Lojas online especializadas
122,Restaurantes e bares
123,Supermercados
123,Restaurantes e bares
124,Supermercados
124,Lojas físicas especializadas
125,Supermercados
125,Lojas físicas especializadas
125,Restaurantes e bares
126,Restaurantes e bares
127,Supermercados
128,Supermercados
128,Lojas físicas especializadas
128,Lojas online especializadas
128,Restaurantes e bares
129,Lojas físicas especializadas
130,Supermercados
130,Lojas físicas especializadas
130,Diretamente em vinícolas
130,Restaurantes e bares
131,Supermercados
132,Supermercados
132,Lojas online especializadas
132,Restaurantes e bares
133,Supermercados
133,Lojas físicas especializadas
134,Supermercados
134,Restaurantes e bares
135,Lojas físicas especializadas
136,Supermercados
136,Lojas online especializadas
137,Supermercados
137,Diretamente em vinícolas
137,Restaurantes e bares
138,Supermercados
139,Lojas online especializadas
139,Diretamente em vinícolas
140,Supermercados
140,Lojas online especializadas
140,Restaurantes e bares
141,Supermercados
141,Lojas online especializadas
142,Supermercados
142,Lojas online especializadas
143,Lojas físicas especializadas
143,Diretamente em vinícolas
144,Lojas físicas especializadas
144,Lojas online especializadas
144,Diretamente em vinícolas
145,Supermercados
146,Supermercados
146,Restaurantes e bares
147,Lojas físicas especializadas
148,Supermercados
149,Lojas físicas especializadas
149,Diretamente em vinícolas
150,Supermercados
151,Supermercados
152,Supermercados
153,Supermercados
153,Diretamente em vinícolas
154,Supermercados
154,Diretamente em vinícolas
154,Restaurantes e bares
155,Supermercados
155,Restaurantes e bares
156,Supermercados
156,Restaurantes e bares
157,Supermercados
157,Lojas físicas especializadas
158,Supermercados
159,Supermercados
159,Diretamente em vinícolas
160,Supermercados
161,Supermercados
161,Lojas físicas especializadas
162,Supermercados
163,Supermercados
163,Diretamente em vinícolas
164,Supermercados
164,Lojas físicas especializadas
164,Lojas online especializadas
164,Diretamente em vinícolas
164,Restaurantes e bares
165,Supermercados
165,Lojas online especializadas
166,Supermercados
166,Lojas físicas especializadas
166,Lojas online especializadas
166,Diretamente em vinícolas
167,Supermercados
167,Lojas físicas especializadas
167,Lojas online especializadas
167,Diretamente em vinícolas
167,Restaurantes e bares
168,Supermercados
168,Lojas físicas especializadas
168,Lojas online especializadas
168,Diretamente em vinícolas
169,Supermercados
169,Lojas físicas especializadas
169,Lojas online especializadas
170,Supermercados
170,Lojas físicas especializadas
171,Lojas físicas especializadas
171,Lojas online especializadas
171,Diretamente em vinícolas
172,Lojas físicas especializadas
172,Lojas online especializadas
173,Supermercados
174,Supermercados
174,Lojas online especializadas
174,Restaurantes e bares
174,Aplicativos de delivery de bebidas
175,Supermercados
175,Lojas físicas especializadas
175,Diretamente em vinícolas
175,Restaurantes e bares
176,Lojas físicas especializadas
176,Lojas online especializadas
177,Supermercados
177,Lojas online especializadas
177,Diretamente em vinícolas
178,Supermercados
178,Restaurantes e bares
179,Supermercados
179,Lojas físicas especializadas
179,Lojas online especializadas
180,Supermercados
180,Lojas físicas especializadas
181,Lojas físicas especializadas
181,Lojas online especializadas
182,Diretamente em vinícolas
183,Supermercados
183,Lojas físicas especializadas
183,Lojas online especializadas
184,Supermercados
184,Lojas físicas especializadas
184,Lojas online especializadas
184,Diretamente em vinícolas
185,Lojas físicas especializadas
185,Lojas online especializadas
186,Supermercados
186,Restaurantes e bares
187,Supermercados
187,Restaurantes e bares
188,Supermercados
189,Supermercados
189,Lojas online especializadas
189,Restaurantes e bares
190,Supermercados
190,Restaurantes e bares
191,Supermercados
191,Diretamente em vinícolas
192,Supermercados
193,Supermercados
193,Lojas físicas especializadas
193,Restaurantes e bares
194,Supermercados
194,Lojas físicas especializadas
194,Restaurantes e bares
195,Supermercados
195,Diretamente em vinícolas
196,Supermercados
196,Lojas físicas especializadas
196,Lojas online especializadas
196,Diretamente em vinícolas
197,Supermercados
197,Lojas físicas especializadas
198,Supermercados
199,Lojas físicas especializadas
199,Lojas online especializadas
200,Supermercados
200,Lojas físicas especializadas
200,Lojas online especializadas
200,Diretamente em vinícolas
201,Supermercados
201,Lojas físicas especializadas
201,Lojas online especializadas
201,Diretamente em vinícolas
201,Restaurantes e bares
202,Supermercados
202,Lojas online especializadas
202,Diretamente em vinícolas
203,Supermercados
204,Lojas físicas especializadas
205,Supermercados
206,Lojas físicas especializadas
206,Lojas online especializadas
206,Diretamente em vinícolas
207,Lojas físicas especializadas
208,Supermercados
209,Supermercados
209,Lojas físicas especializadas
209,Lojas online especializadas
210,Supermercados
210,Diretamente em vinícolas
210,Restaurantes e bares
211,Supermercados
211,Lojas online especializadas
212,Supermercados
213,Supermercados
213,Lojas online especializadas
214,Supermercados
214,Lojas físicas especializadas
214,Restaurantes e bares
215,Supermercados
215,Lojas físicas especializadas
216,Lojas físicas especializadas
216,Lojas online especializadas
217,Supermercados
217,Diretamente em vinícolas
218,Lojas físicas especializadas
218,Diretamente em vinícolas
219,Supermercados
219,Lojas físicas especializadas
219,Lojas online especializadas
219,Diretamente em vinícolas
220,Supermercados
221,Supermercados
221,Diretamente em vinícolas
221,Restaurantes e bares
222,Supermercados
223,Supermercados
223,Diretamente em vinícolas
223,Restaurantes e bares
224,Supermercados
225,Supermercados
225,Lojas físicas especializadas
225,Lojas online especializadas
225,Restaurantes e bares
226,Lojas físicas especializadas
226,Lojas online especializadas
226,Diretamente em vinícolas
226,Restaurantes e bares
227,Supermercados
227,Lojas físicas especializadas
228,Supermercados
228,Lojas online especializadas
229,Supermercados
229,Lojas físicas especializadas
230,Supermercados
231,Lojas físicas especializadas
232,Supermercados
233,Supermercados
233,Lojas online especializadas
234,Restaurantes e bares
235,Supermercados
236,Supermercados
237,Supermercados
238,Supermercados
238,Restaurantes e bares
239,Supermercados
239,Restaurantes e bares
240,Supermercados
240,Lojas online especializadas
240,Diretamente em vinícolas
241,Supermercados
241,Lojas físicas especializadas
242,Supermercados
243,Supermercados
244,Supermercados
245,Supermercados
246,Supermercados
246,Lojas físicas especializadas
247,Supermercados
248,Supermercados
249,Supermercados
250,Supermercados
250,Lojas físicas especializadas
250,Lojas online especializadas
251,Supermercados
252,Supermercados
253,Supermercados
253,Lojas físicas especializadas
253,Lojas online especializadas
253,Restaurantes e bares
254,Supermercados
255,Supermercados
255,Restaurantes e bares
256,Supermercados
256,Lojas físicas especializadas
256,Diretamente em vinícolas
256,Restaurantes e bares
257,Supermercados
257,Lojas físicas especializadas
257,Diretamente em vinícolas
258,Supermercados
258,Lojas físicas especializadas
258,Lojas online especializadas
258,Diretamente em vinícolas
258,Restaurantes e bares
259,Lojas físicas especializadas
259,Lojas online especializadas
259,Diretamente em vinícolas
260,Supermercados
260,Lojas físicas especializadas
260,Lojas online especializadas
260,Diretamente em vinícolas
260,Restaurantes e bares
261,Lojas físicas especializadas
261,Lojas online especializadas
261,Diretamente em vinícolas
261,Restaurantes e bares
